Name,Team,POS,ADP,PA,mAVG,mRBI,mSB,mOPS,mTB,PTS,aPOS,Dollars,PlayerId
"Vladimir Guerrero Jr.","TOR","1B/DH",12.069999694824219,653.446,12.426331912261004,15.635200120486504,-2.0212438956386394,18.206503664365275,14.715225133922852,58.962016935396996,24.146940550159197,84.1089574855562,"19611"
"Aaron Judge","NYY","OF/DH",4.300000190734863,677.11,5.539059395244664,13.52618596833663,1.077926494607172,20.40959826903766,13.998503274042507,54.55127340126863,23.43171228989983,78.98298569116847,"15640"
"Kyle Tucker","HOU","OF",5.670000076293945,619.675,7.387353396619232,9.628793523959832,8.168027356555212,11.394646644288128,9.84206888635724,46.420889807779645,23.43171228989983,70.85260209767948,"18345"
"Juan Soto","SDP","OF",9.8100004196167,674.752,7.172998233072502,8.526489339601977,-0.044938538055514676,21.69070360181591,6.996999519327059,44.34225215576193,23.43171228989983,68.77396444566176,"20123"
"Ronald Acuna Jr.","ATL","OF/DH",2.190000057220459,682.077,3.2634656717843957,2.1352517507538544,20.755210212845842,9.34865228386239,7.883227871563182,43.385807790809665,23.43171228989983,67.81752008070949,"18401"
"Julio Rodriguez","SEA","OF",4.039999961853027,679.069,6.056631626178868,4.300501429248009,12.904833884809232,7.649229890093542,11.49238615033728,42.40358298066693,23.43171228989983,66.83529527056676,"23697"
"Yordan Alvarez","HOU","OF/DH",11.149999618530273,602.222,8.051410556371696,13.098347703975763,-5.60056313531364,16.1532406402123,9.185467860480548,40.887903625726665,23.43171228989983,65.3196159156265,"19556"
"Fernando Tatis Jr.","SDP","SS",18.149999618530273,530.956,7.118311354473126,6.595044079047266,8.258281716396107,13.316688170456947,4.776273582724623,40.06459890309807,23.946470505969625,65.0110694090677,"19709"
"Freddie Freeman","LAD","1B",13.930000305175781,675.331,12.883688378188895,5.782240960943596,-0.21002390186220357,11.911888447338885,8.146182084337099,38.51397596894627,24.146940550159197,63.66091651910547,"5361"
"Bo Bichette","TOR","SS",13.039999961853027,672.412,8.432533388976918,6.1269409856126185,4.893699857702555,2.645180826133655,9.957938971279152,32.056294029704894,23.946470505969625,57.002764535674515,"19612"
